COMCOD,COURSE_NO,COURSE_TITLE,CREDIT,COMPRE_DATE_&_SESSION
1001.0,BIO F110,BIOLOGY LABORATORY,1.0,
1002.0,BIO F111,GENERAL BIOLOGY,3.0,20/12 FN
1112.0,BIO F211,BIOLOGICAL CHEMISTRY,3.0,17/12 FN
1114.0,BIO F212,MICROBIOLOGY,4.0,28/12 FN
1113.0,BIO F213,CELL BIOLOGY,3.0,13/12 FN
1115.0,BIO F214,INTEGRATED BIOLOGY,3.0,22/12 FN
1430.0,BIO F242,INTRO TO BIOINFORMATICS,3.0,17/12 FN
1651.0,BIO F266,STUDY PROJECT,3.0,
1427.0,BIO F311,RECOMBINANT DNA TECH,3.0,24/12 FN
1428.0,BIO F312,PLANT PHYSIOLOGY,3.0,27/12 FN
1429.0,BIO F313,ANIMAL PHYSIOLOGY,3.0,18/12 FN
1431.0,BIO F341,DEVELOPMENTAL BIOLOGY,3.0,23/12 FN
1650.0,BIO F366,LABORATORY PROJECT,3.0,
1736.0,BIO F367,LABORATORY PROJECT,3.0,
1685.0,BIO F376,DESIGN PROJECT,3.0,
1752.0,BIO F377,DESIGN PROJECT,3.0,
1433.0,BIO F417,BIOMOLECULAR MODELING,3.0,23/12 FN
1434.0,BIO F418,GENETIC ENGINEERING TECH,4.0,24/12 AN
1436.0,BIO F421,ENZYMOLOGY,3.0,28/12 FN
1710.0,BIO F491,SPECIAL PROJECT,3.0,
71.0,BIO G512,MOLEC MECH OF GENE EXPRE,5.0,22/12 AN
388.0,BIO G513,MICROBIAL FERMENT TECHNO,5.0,17/12 AN
392.0,BIO G514,MOLECULAR IMMUNOLOGY,5.0,22/12 AN
111.0,BIO G515,STEM CELL & REGENER BIO,4.0,28/12 AN
2009.0,BIO G523,ADV & APPLIED MICROBIO,5.0,27/12 AN
2008.0,BIO G524,ANIMAL CELL TECHNOLOGY,5.0,23/12 AN
192.0,BIO G526,CANCER BIOLOGY,5.0,17/12 AN
2015.0,BIO G532,BIOSTATISTICS & BIOMODEL,4.0,20/12 AN
151.0,BIO G542,ADVANCED CELL MOLE BIO,5.0,28/12 AN
1887.0,BIO G570,RECENT DEVELOPMENTS IN BIOLOGY,1.0,17/12 FN
2016.0,BIO G612,HUMAN GENETICS,5.0,20/12 AN
1375.0,BIOT F424,FOOD BIOTECHNOLOGY,3.0,23/12 FN
549.0,BITS C790T,INDEPENDENT STUDY,1.0,
596.0,BITS C791T,TEACHING PRACTICE I,1.0,
520.0,BITS C797T,PH D SEMINAR,1.0,
553.0,BITS C799T,PH D THESIS,10.0,
857.0,BITS E793T,PRACTICE LECT SERIES I,1.0,
1003.0,BITS F110,ENGINEERING GRAPHICS,2.0,14/12 AN
1004.0,BITS F111,THERMODYNAMICS,3.0,23/12 FN
1005.0,BITS F112,TECHNICAL REPORT WRITING,2.0,18/12 AN
1858.0,BITS F113,GENERAL MATHEMATICS  I,3.0,24/01 AN
1892.0,BITS F214,SCIENCE TECH & MODERNITY,3.0,15/12 FN
1861.0,BITS F218,GENERAL MATHEMATICS  III,3.0,28/12 FN
1862.0,BITS F219,PROCESS ENGINEERING,3.0,22/12 FN
1632.0,BITS F225,ENVIRONMENTAL STUDIES,3.0,20/12 FN
1334.0,BITS F312,NEURAL NET & FUZZY LOGIC,3.0,17/12 FN
1335.0,BITS F343,FUZZY LOGIC & APPL,3.0,22/12 FN
1336.0,BITS F364,HUMAN COMP INTERACTION,3.0,23/12 FN
1791.0,BITS F382,READING COURSE,3.0,
1512.0,BITS F385,INTRO TO GENDER STUDIES,3.0,18/12 FN
1592.0,BITS F412,PRACTICE SCHOOL II,20.0,
1615.0,BITS F413,PRACTICE SCHOOL II,20.0,
1248.0,BITS F415,INTRODUCTION TO MEMS,4.0,20/12 FN
1770.0,BITS F418,INTRO TO BIOMEDICAL ENGG,4.0,22/12 FN
1593.0,BITS F421T,THESIS,16.0,
1616.0,BITS F422T,THESIS,16.0,
1617.0,BITS F423T,THESIS,9.0,
1619.0,BITS F424T,THESIS,9.0,
2317.0,BITS F427,DIGITAL MARKETING,3.0,13/12 AN
1806.0,BITS F431,FLEXIBLE MANUFAC SYST,4.0,24/12 AN
2318.0,BITS F433,SUPPLY CHAIN ANALYTICS,4.0,17/12 AN
2001.0,BITS F437,TECHNICAL COMMUNICATION,3.0,11/12 FN
2433.0,BITS F451,AUTONOMOUS MOBILE ROBOTICS,3.0,17/12 FN
1796.0,BITS F462,RENEWABLE ENERGY,3.0,17/12 FN
1339.0,BITS F464,MACHINE LEARNING,3.0,13/12 FN
1379.0,BITS F467,BIOETHICS & BIOSAFETY,3.0,20/12 FN
1797.0,BITS F468,NEW VENTURE CREATION,3.0,
1641.0,BITS F482,CREAT & LEAD ENTREP ORGN,3.0,20/12 FN
1852.0,BITS F490,PROJECT MANAGEMENT,4.0,23/12 AN
1804.0,BITS F494,ENV IMPACT ASSESSMENT,4.0,20/12 FN
499.0,BITS G511,ADVANCED PROJECT,5.0,
547.0,BITS G513,STUDY IN ADVANCED TOPICS,5.0,
754.0,BITS G529,RESEARCH PROJECT I,6.0,
755.0,BITS G539,RESEARCH PROJECT II,6.0,
2003.0,BITS G540,RESEARCH PRACTICE,4.0,
9.0,BITS G553,REAL TIME SYSTEMS,5.0,20/12 AN
559.0,BITS G560,PRACTICE SCHOOL,20.0,
575.0,BITS G561T,DISSERTATION,16.0,
2164.0,BITS G562T,DISSERTATION,16.0,
2165.0,BITS G563T,DISSERTATION,16.0,
756.0,BITS G629T,DISSERTATION,16.0,
809.0,BITS G639,PRACTICE SCHOOL,20.0,
757.0,BITS G649,READING COURSE,5.0,
2167.0,BITS G661,RESEARCH METHODOLOGY I,5.0,
1073.0,CE F211,MECHANICS OF SOLIDS,3.0,28/12 FN
1075.0,CE F213,SURVEYING,4.0,17/12 FN
2279.0,CE F230,CIVIL ENGINEERING MATERIALS,4.0,13/12 FN
2280.0,CE F231,FLUID MECHANICS,3.0,22/12 FN
1652.0,CE F266,STUDY PROJECT,3.0,
1196.0,CE F312,HYDRAULIC ENGINEERING,4.0,15/12 FN
1197.0,CE F313,FOUNDATION ENGINEERING,3.0,27/12 FN
2281.0,CE F320,DESIGN OF RE CONCRETE STRU,3.0,24/12 FN
2282.0,CE F321,ENGINEERING HYDROLOGY,3.0,13/12 FN
1215.0,CE F323,INTRO TO ENVIRN ENGG,3.0,13/12 FN
2304.0,CE F325,FUNDAMENTALS OF ROCK MECHANICS,3.0,20/12 FN
1667.0,CE F366,LABORATORY PROJECT,3.0,
1737.0,CE F367,LABORATORY PROJECT,3.0,
1686.0,CE F376,DESIGN PROJECT,3.0,
1753.0,CE F377,DESIGN PROJECT,3.0,
1231.0,CE F417,APP OF AI IN CIVIL ENGG,3.0,17/12 FN
1221.0,CE F426,GEOSYN & REIN SOIL STR,3.0,23/12 FN
1228.0,CE F433,REMOTE SENS & IMAGE PROC,4.0,22/12 FN
1234.0,CE F435,INTRODUCTION TO FEM,3.0,22/12 FN
1711.0,CE F491,SPECIAL PROJECT,3.0,
433.0,CE G515,FUNDAMENTALS OF SYS ENGG,4.0,28/12 AN
325.0,CE G523,TRAN SYST PLAN & MANAGE,4.0,23/12 AN
950.0,CE G525,WATER RESOUR PLAN & MANA,4.0,27/12 AN
278.0,CE G527,CONSTRUCTION MANAGEMENT,4.0,24/12 AN
304.0,CE G534,PAVEMENT MATERIAL CHARAC,4.0,23/12 AN
931.0,CE G545,AIRPORT PLANNING & DES,4.0,22/12 AN
2024.0,CE G547,PAV FAIL EVAL & REHABIL,4.0,27/12 AN
880.0,CE G551,DYNAMICS OF STRUCTURES,4.0,27/12 AN
526.0,CE G552,ADV STR MECH & STABILITY,4.0,23/12 AN
2337.0,CE G565,TRANSPORTATION PLANNING,4.0,27/12 AN
2339.0,CE G567,HIGHWAY DESIGN,4.0,24/12 AN
2340.0,CE G568,TRAFFIC SYSTEMS ANALYSIS,4.0,28/12 AN
2341.0,CE G569,TRANSPORTATION ECONOMICS,4.0,21/12 FN
2346.0,CE G574,PAVEMENT MAINTENANCE,4.0,24/12 AN
345.0,CE G612,ADVANCED STEEL STRUCTURE,4.0,22/12 AN
613.0,CE G614,PRESTRESS CONCRETE STRUC,4.0,17/12 AN
346.0,CE G616,BRIDGE ENGINEERING,4.0,23/12 AN
343.0,CE G617,ADVANCE STRUC ANALYSIS,4.0,28/12 AN
326.0,CE G619,FINITE ELEMENT ANALYSIS,5.0,20/12 AN
2119.0,CE G632,DES OF FOUN FOR DYN LOAD,4.0,28/12 AN
1069.0,CHE F211,CHEMICAL PROCESS CALCULA,3.0,28/12 FN
1072.0,CHE F212,FLUID MECHANICS,3.0,22/12 FN
1071.0,CHE F213,CHEM ENGG THERMODYNAMICS,3.0,17/12 FN
1070.0,CHE F214,ENGINEERING CHEMISTRY,3.0,13/12 FN
1653.0,CHE F266,STUDY PROJECT,3.0,
1184.0,CHE F311,KINETICS & REACTOR DESIG,3.0,15/12 FN
1185.0,CHE F312,CHEMICAL ENGG LAB I,3.0,
1186.0,CHE F313,SEPARATION PROCESSES II,3.0,24/12 FN
1187.0,CHE F314,PROCESS DES PRINCIPLES I,3.0,27/12 FN
1190.0,CHE F343,PROCESS DES PRINCIPLE II,3.0,22/12 FN
1668.0,CHE F366,LABORATORY PROJECT,3.0,
1738.0,CHE F367,LABORATORY PROJECT,3.0,
1687.0,CHE F376,DESIGN PROJECT,3.0,
1754.0,CHE F377,DESIGN PROJECT,3.0,
1206.0,CHE F411,ENVIR POLLUTION CONTROL,3.0,13/12 FN
1201.0,CHE F414,TRANSPORT PHENOMENA,3.0,28/12 FN
1205.0,CHE F421,BIOCHEMICAL ENGINEERING,3.0,17/12 FN
2178.0,CHE F422,PETROLEUM  REFINING TECHNOLOGY,3.0,20/12 FN
2305.0,CHE F423,MEMBRANE SCIENCE & ENGINEERING,3.0,23/12 FN
1209.0,CHE F491,SPECIAL PROJECTS,3.0,
279.0,CHE G513,ENVIR MANAGEMENT SYSTEMS,5.0,22/12 AN
2002.0,CHE G523,MATH METHODS IN CHEM ENG,5.0,20/12 AN
2152.0,CHE G558,CHEM PROC OPTIMIZATION,4.0,24/12 AN
2032.0,CHE G622,ADV CHEMICAL ENGG THERMO,5.0,28/12 AN
1006.0,CHEM F110,CHEMISTRY LABORATORY,1.0,
1007.0,CHEM F111,GENERAL CHEMISTRY,3.0,21/01 AN
1116.0,CHEM F211,PHYSICAL CHEMISTRY I,3.0,22/12 FN
1117.0,CHEM F212,ORGANIC CHEMISTRY I,3.0,28/12 FN
1118.0,CHEM F213,PHYSICAL CHEMISTRY II,3.0,20/12 FN
1119.0,CHEM F214,INORGANIC CHEMISTRY I,3.0,13/12 FN
1654.0,CHEM F266,STUDY PROJECT,3.0,
1559.0,CHEM F311,ORGANIC CHEMISTRY III,3.0,18/12 FN
1560.0,CHEM F312,PHYSICAL CHEMISTRY IV,3.0,24/12 FN
1558.0,CHEM F313,INSTRU METHODS OF ANAL,4.0,27/12 FN
1570.0,CHEM F323,BIOPHYSICAL CHEMISTRY,3.0,13/12 FN
1577.0,CHEM F327,ELECTROCHEM FUNDA & APPL,3.0,22/12 FN
1583.0,CHEM F333,CHEMISTRY OF MATERIALS,3.0,23/12 FN
1585.0,CHEM F335,ORGANIC CHEM & DRUG DES,3.0,28/12 FN
1587.0,CHEM F337,GREEN CHEM & CATALYSIS,3.0,17/12 FN
1669.0,CHEM F366,LABORATORY PROJECT,3.0,
1739.0,CHEM F367,LABORATORY PROJECT,3.0,
1688.0,CHEM F376,DESIGN PROJECT,3.0,
1755.0,CHEM F377,DESIGN PROJECT,3.0,
1574.0,CHEM F422,STATISTICAL THERMODYNAM,3.0,20/12 FN
1713.0,CHEM F491,SPECIAL PROJECT,3.0,
736.0,CHEM G551,ADV ORGANIC CHEMISTRY,5.0,22/12 AN
937.0,CHEM G553,ADV PHYSICAL CHEMISTRY,5.0,11/12 FN
1008.0,CS F111,COMPUTER PROGRAMMING,4.0,23/12 AN
1092.0,CS F213,OBJECT ORIENTED PROG,4.0,28/12 FN
1090.0,CS F214,LOGIC IN COMPUTER SC,3.0,13/12 FN
1093.0,CS F215,DIGITAL DESIGN,4.0,22/12 FN
1091.0,CS F222,DISCR STRUC FOR COMP SCI,3.0,17/12 FN
1655.0,CS F266,STUDY PROJECT,3.0,
1316.0,CS F301,PRINCIPLES OF PROGG LANG,2.0,24/12 FN
2266.0,CS F320,FOUNDATIONS OF DATA SCIENCE,3.0,20/12 FN
1317.0,CS F342,COMPUTER ARCHITECTURE,4.0,27/12 FN
1314.0,CS F351,THEORY OF COMPUTATION,3.0,15/12 FN
1670.0,CS F366,LABORATORY PROJECT,3.0,
1740.0,CS F367,LABORATORY PROJECT,3.0,
1315.0,CS F372,OPERATING SYSTEMS,3.0,18/12 FN
1689.0,CS F376,DESIGN PROJECT,3.0,
1756.0,CS F377,DESIGN PROJECT,3.0,
1333.0,CS F407,ARTIFICIAL INTELLIGENCE,3.0,17/12 FN
1322.0,CS F415,DATA MINING,3.0,22/12 AN
2440.0,CS F425,DEEP LEARNING,3.0,20/12 FN
2441.0,CS F426,GRAPH MINING,4.0,11/12 FN
2432.0,CS F451,COMBINATORIAL MATHEMATICS,3.0,20/12 FN
1714.0,CS F491,SPECIAL PROJECT,3.0,
2450.0,CS G518,INTERNET OF THINGS: DESIGN AND,4.0,23/12 AN
2451.0,CS G519,SOCIAL MEDIA ANALYTICS,4.0,24/12 AN
2004.0,CS G525,ADV COMPUTER NETWORKS,5.0,22/12 FN
2005.0,CS G526,ADV ALGO & COMPLEXITY,5.0,21/12 AN
2108.0,CS G527,CLOUD COMPUTING,5.0,14/12 AN
918.0,CS G553,RECONFIGURABLE COMPUTING,5.0,23/12 AN
782.0,CS G623,ADVANCED OPERAT SYSTEMS,5.0,24/12 AN
445.0,DE G513,TRIBOLOGY,5.0,13/12 AN
436.0,DE G514,FRACTURE MECHANICS,5.0,28/12 AN
362.0,DE G531,PRODUCT DESIGN,5.0,28/12 AN
678.0,DE G611,DYNAMICS & VIBRATION,5.0,17/12 AN
625.0,DE G631,MATERIALS TECH & TESTING,5.0,27/12 AN
1023.0,ECON F211,PRINCIPLES OF ECONOMICS,3.0,13/12 FN
1120.0,ECON F212,FUNDA OF FIN AND ACCOUNT,3.0,28/12 AN
1121.0,ECON F213,MATHEMATIC & STAT METHOD,3.0,17/12 FN
1145.0,ECON F214,ECONOMIC ENV OF BUSINESS,3.0,22/12 FN
1656.0,ECON F266,STUDY PROJECT,3.0,
1446.0,ECON F311,INTERNATIONAL ECONOMICS,3.0,15/12 FN
1447.0,ECON F312,MONEY BANK & FIN MARKETS,3.0,27/12 FN
1448.0,ECON F313,ISSUES IN ECONOMIC DEV,3.0,24/12 FN
1773.0,ECON F314,INDUSTRIAL ECONOMICS,3.0,23/12 FN
1565.0,ECON F354,DERIVATIVES & RISK MGMT,3.0,23/12 FN
1547.0,ECON F355,BUSS ANAL & VALUATION,3.0,22/12 AN
1684.0,ECON F366,LABORATORY PROJECT,3.0,
1741.0,ECON F367,LABORATORY PROJECT,3.0,
1690.0,ECON F376,DESIGN PROJECT,3.0,
1757.0,ECON F377,DESIGN PROJECT,3.0,
1566.0,ECON F412,SECUR ANAL & PORTFOL MGT,3.0,17/12 FN
1552.0,ECON F414,CREAT & LEAD ENTREP ORGN,3.0,20/12 FN
1553.0,ECON F415,NEW VENTURE CREATION,3.0,
1925.0,ECON F417,RISK MANAGEMENT AND INSURA,3.0,20/12 FN
1875.0,ECON F435,MARKETING RESEARCH,3.0,17/12 FN
1568.0,ECON F471,RESOURCES & ENVIR ECON,3.0,17/12 FN
1726.0,ECON F491,SPECIAL PROJECT,3.0,
1009.0,EEE F111,ELECTRICAL SCIENCES,3.0,24/12 AN
1077.0,EEE F211,ELECTRICAL MACHINES,4.0,28/12 FN
1078.0,EEE F212,ELECTROMAGNETIC THEO,3.0,17/12 FN
1080.0,EEE F214,ELECTRONIC DEVICES,3.0,13/12 FN
1079.0,EEE F215,DIGITAL DESIGN,4.0,22/12 FN
1889.0,EEE F245,CONTROL SYSTEMS LAB,1.0,13/12 FN
1657.0,EEE F266,STUDY PROJECT,3.0,
1242.0,EEE F311,COMMUNICATION SYSTEMS,4.0,27/12 FN
1243.0,EEE F313,ANALOG & DIGIT VLSI DES,3.0,24/12 FN
1731.0,EEE F366,LABORATORY PROJECT,3.0,
1742.0,EEE F367,LABORATORY PROJECT,3.0,
1691.0,EEE F376,DESIGN PROJECT,3.0,
1758.0,EEE F377,DESIGN PROJECT,3.0,
2288.0,EEE F411,INTERNET OF THINGS,4.0,20/12 FN
1254.0,EEE F422,MODERN CONTROL SYSTEMS,3.0,23/12 FN
1259.0,EEE F426,FIBRE OPTICS & OPTOELECT,3.0,22/12 FN
1256.0,EEE F434,DIGITAL SIGNAL PROCESS,4.0,13/12 FN
1257.0,EEE F435,DIGITAL IMAGE PROCESSING,3.0,14/12 FN
1249.0,EEE F472,SATELLITE COMMUNICATION,3.0,23/12 FN
1855.0,EEE F474,ANTENNA THEO AND DESIGN,4.0,20/12 FN
1716.0,EEE F491,SPECIAL PROJECT,3.0,
324.0,EEE G512,EMBEDDED SYSTEM DESIGN,4.0,27/12 AN
2175.0,EEE G547,DEVICE DRIVERS,5.0,15/12 AN
