COMCOD,SEC,ROOM,DAYS_&_HOURS
1256.0,L1,1203.0,M W F  9
1256.0,P1,,T  1 2
1256.0,P2,,T  1 2
1257.0,L1,5101.0,M W F  6
1249.0,L1,1202.0,M W F  7
1855.0,L1,5105.0,M W F  2
1855.0,P1,,T  10 11
1716.0,L1,,
324.0,L1N,,M W F  7
324.0,P1N,,T  7 8
324.0,P2N,,Th  7 8
2175.0,L1,5103.0,M W F  5
698.0,L1N,,T Th  5  F  10
698.0,P1N,,Th  9 10
712.0,L1,1231.0,T Th  5  F  10
712.0,P1,,T  7 8
1896.0,L1,6104.0,M W F  9
1897.0,L1,6108.0,M W F  7
707.0,L1N,,T Th  4  W  10
471.0,L1,6103.0,M W F  4
921.0,L1,6151.0,T Th  4  W  10
2267.0,L1,6102.0,M W F  5
1658.0,L1,,
1539.0,L1,6151.0,M W F  7
1539.0,L2M,,M W F  7
1545.0,L1,5101.0,T Th  4  W  10
1545.0,L2M,,T Th  4  W  10
1732.0,L1,,
1743.0,L1,,
1692.0,L1,,
1759.0,L1,,
1942.0,L1,1227.0,M W F  2
1942.0,L2M,,M W F  2
1717.0,L1,,
1130.0,L1,1233.0,T Th  5  F  10
1131.0,L1,6160.0,M W F  4
1132.0,L1,6103.0,M  10  T Th  3
1133.0,L1,6109.0,T  6  T Th  2
1134.0,P1,,T Th  7 8
1135.0,L1,6109.0,M W F  7
1136.0,L1,6109.0,M W F  5
1136.0,L2,6101.0,T  6  T Th  2
1169.0,L1,1233.0,T  6  T Th  2
1170.0,L1,6101.0,T Th  5  F  10
1159.0,L1,1201.0,M W F  8
1659.0,L1,,
1173.0,L1,6102.0,M W F  4
1174.0,L1,1234.0,T Th  5  F  10
1914.0,L1,1201.0,M  10  T Th  3
1163.0,L1,2206.0,M  4
1163.0,P1,,T  7 8
1137.0,L1,1201.0,T Th  5  F  10
1175.0,L1,6101.0,M W F  5
1873.0,L1,6102.0,M W  6
1733.0,L1,,
1744.0,L1,,
1693.0,L1,,
1760.0,L1,,
1718.0,L1,,
1596.0,L1,1202.0,M W F  8
1621.0,L1,1226.0,T Th  5  F  10
1627.0,L1,1234.0,T  6  T Th  2
1628.0,L1,6109.0,M W F  8
2425.0,L1,1226.0,M  10  T Th  3
1776.0,L1,,
1777.0,L1,5105.0,M W F  7
1155.0,L1,2204.0,M W F  4
1609.0,L1,5102.0,T Th  5  F  10
1597.0,L1,6102.0,T  6  T Th  2
1599.0,L1,5105.0,M W F  5
1623.0,L1,6101.0,M W F  6
1625.0,L1,6156.0,M W F  7
1626.0,L1,1233.0,M W F  5
2289.0,L1,6164.0,M W F  2
1096.0,L1,5105.0,M  10  T Th  3
1096.0,L2,5101.0,M  10  T Th  3
1096.0,T1,5105.0,W  1
1096.0,T2,5101.0,W  1
1096.0,T3,6101.0,W  1
1096.0,T4,6102.0,W  1
1096.0,T5,1234.0,W  1
1096.0,T6,6152.0,W  1
1096.0,P1,,Th  7 8
1096.0,P2,,T  10 11
1096.0,P3,,T  10 11
1096.0,P4,,Th  10 11
1096.0,P5,,Th  7 8
1096.0,P6,,Th  10 11
1097.0,L1,5105.0,T Th  4  W  10
1097.0,T1,5105.0,F  1
1097.0,T2,6102.0,F  1
1097.0,T3,1202.0,F  1
1097.0,T4,1226.0,F  1
1097.0,T5,1231.0,F  1
1099.0,L1,5105.0,M W F  9
1099.0,T1,5105.0,Th  1
1099.0,T2,6155.0,Th  1
1099.0,T3,6156.0,Th  1
1099.0,T4,6101.0,Th  1
1099.0,T5,6102.0,Th  1
1099.0,T6,1202.0,Th  1
1098.0,L1,5102.0,M W F  3
1098.0,L2,5105.0,M W F  3
1098.0,T1,5102.0,M  1
1098.0,T2,5105.0,M  1
1098.0,T3,1233.0,M  1
1098.0,T4,6101.0,M  1
1098.0,T5,6102.0,M  1
1098.0,T6,1234.0,M  1
1098.0,T7,1202.0,M  1
1098.0,T8,1204.0,M  1
1098.0,P1,,T  10 11
1098.0,P2,,T  10 11
1098.0,P3,,T  10 11
1098.0,P4,,T  10 11
1098.0,P5,,Th  7 8
1098.0,P6,,Th  7 8
1098.0,P7,,Th  7 8
1660.0,L1,,
1345.0,L1,1201.0,M W F  4
1345.0,P1,,T  7 8
1345.0,P2,,T  7 8
1345.0,P3,,Th  10 11
1346.0,L1,1234.0,M W F  5
1346.0,T1,1203.0,T  9
1346.0,T2,1227.0,T  9
1346.0,T3,1223.0,T  9
1347.0,L1,5102.0,M W F  8
1347.0,L2,5101.0,M W F  8
1347.0,T1,1202.0,Th  9
1347.0,T2,6155.0,Th  9
1347.0,T3,1203.0,Th  9
1347.0,T4,1223.0,Th  9
1347.0,T5,1226.0,Th  9
1734.0,L1,,
1745.0,L1,,
1694.0,L1,,
1761.0,L1,,
1719.0,L1,,
1331.0,L1,6160.0,M W F  2
275.0,L1,1201.0,M W F  3
1010.0,L1B,6107.0,M  10  T Th  3
1010.0,L2N,,M W F  3
1010.0,L3N,,M W F  8
1010.0,L4N,,T Th  5  F  10
1010.0,T1B,6160.0,F  1
1010.0,T2N,,F  1
1010.0,T3N,,F  1
1010.0,T4N,,F  1
1010.0,T5N,,F  1
1010.0,T6N,,F  1
1010.0,T7N,,M  1
1010.0,T8N,,M  1
1010.0,T9N,,M  1
1010.0,T10N,,M  1
1010.0,T11N,,M  1
1010.0,T12N,,M  1
1010.0,T13N,,Th  8
1010.0,T14N,,Th  8
1010.0,T15N,,Th  8
1010.0,T16N,1201.0,Th  8
1010.0,T17N,6102.0,Th  8
1010.0,T18N,,Th  8
1010.0,T19N,,W  1
1010.0,T20N,,W  1
1010.0,T21N,,W  1
1010.0,T22N,,W  1
1010.0,T23N,,W  1
1010.0,T24N,,W  1
1010.0,T25N,,W  1
1022.0,L1,1233.0,M W F  4
1022.0,L2,1234.0,M W F  4
1022.0,L3,1231.0,M W F  4
1022.0,L4,1226.0,M W F  4
1022.0,L5,1202.0,M W F  4
1022.0,L6,1203.0,M W F  4
1022.0,L7,6159.0,M W F  4
1022.0,L8,6163.0,M W F  4
1022.0,L9,6164.0,M W F  4
1022.0,L10,1233.0,M W F  7
1022.0,L11,1234.0,M W F  7
1022.0,L12,5106.0,M W F  7
1022.0,CH1,1233.0,T  1
1022.0,CH2,1234.0,T  1
1022.0,CH3,5101.0,T  1
1022.0,CH4,5102.0,T  1
1022.0,CH5,5105.0,T  1
1022.0,CH6,5106.0,T  1
1022.0,CH7,6159.0,T  1
1022.0,CH8,6163.0,T  1
1022.0,CH9,6164.0,T  1
1022.0,CH10,6101.0,T  1
1022.0,CH11,6102.0,T  1
1022.0,CH12,6152.0,T  1
1122.0,L1,6164.0,M W F  9
1122.0,L2,6102.0,T Th  5  F  10
1122.0,L3,6159.0,T Th  5  F  10
1122.0,L4M,,M W F  9
1122.0,T1,6164.0,M  1
1122.0,T2,1227.0,M  1
1122.0,T3,6159.0,T  2
1123.0,L1,6164.0,M W F  3
1123.0,L2,1223.0,M W F  3
1123.0,T1,6164.0,W  1
1123.0,T2,1226.0,W  1
1124.0,L1,6164.0,M  10  T Th  3
1124.0,T1,6164.0,T  7
1125.0,L1,6164.0,T Th  4  W  10
1125.0,T1,6164.0,F  1
1662.0,L1,,
1469.0,L1,6155.0,M W F  4
1469.0,T1,6155.0,T  2
1470.0,L1,6155.0,M W F  8
1470.0,T1,6155.0,T  9
1471.0,L1,6155.0,T Th  5  F  10
1471.0,T1,6155.0,Th  2
1472.0,L1,,M W F  7
1473.0,L1,6104.0,M W F  2
1679.0,L1,,
1747.0,L1,,
1696.0,L1,,
1763.0,L1,,
1480.0,L1,5106.0,M W F  2
2273.0,L1,1227.0,M  10  T Th  3
2273.0,L2M,,M  10  T Th  3
1330.0,L1,1202.0,M W F  9
1881.0,L1,6104.0,T Th  4  W  10
1476.0,L1,1201.0,M W F  7
1476.0,L2M,,M W F  7
1721.0,L1,,
939.0,L1,6152.0,M W F  7
2233.0,L1,6155.0,M W F  7
2235.0,L1,5101.0,T Th  4  W  10
2258.0,L1,6163.0,T Th  5  F  10
2429.0,L1,,T Th  4  W  10
2236.0,L1,6156.0,M W F  2
1907.0,L1,6104.0,M  4  T Th  8
1909.0,L1,,T Th  5  Th  9
1910.0,L1,6107.0,M W F  9
2363.0,L1,6160.0,M W F  8
2364.0,L1,1223.0,M  10  T Th  3
2365.0,L1,1226.0,M W F  5
2328.0,L1,6152.0,M W F  9
2329.0,L1,6152.0,T Th  4  W  10
2245.0,L1,2204.0,M W F  2
2249.0,L1,6108.0,T Th  2  F  4
2250.0,L1,1227.0,M W F  3
2379.0,L1B,6107.0,M  8
2379.0,L2N,,W  10
2379.0,P1B,,T  7 8
2379.0,P2N,,T  3 4
2379.0,P3N,,T  3 4
2379.0,P4N,,T  3 4
2379.0,P5N,,T  3 4
2379.0,P6N,,T  3 4
2379.0,P7N,,T  3 4
2379.0,P8N,,T  3 4
1083.0,L1,5106.0,T Th  4  W  10
1083.0,T1,5106.0,F  1
1083.0,T2,1203.0,F  1
1083.0,T3,1201.0,F  1
1083.0,T4,1223.0,F  1
1083.0,T5,1232.0,F  1
1082.0,L1,5106.0,M  10  T Th  3
1082.0,T1,5106.0,W  1
1082.0,T2,6154.0,W  1
1082.0,T3,6159.0,W  1
1082.0,T4,1227.0,W  1
1082.0,T5,1201.0,W  1
1084.0,L1B,,M W F  3
1084.0,P1B,,T  10 11
1084.0,T4,1223.0,Th  1
1085.0,P1,,T  10 11
2394.0,L1,5106.0,M W F  9
2394.0,T1,5106.0,M  1
2394.0,T2,1226.0,M  1
2394.0,T3,1201.0,M  1
2394.0,T4,1223.0,M  1
2394.0,T5,1219.0,M  1
2394.0,P1,,Th  7 8
2394.0,P2,,Th  7 8
2394.0,P3,,Th  7 8
2394.0,P4,,Th  7 8
2396.0,L1,5106.0,M W F  3
2396.0,T1,5106.0,Th  1
2396.0,T2,1227.0,Th  1
2396.0,T3,1201.0,Th  1
2396.0,T4,1223.0,Th  1
2396.0,P1,,T  10 11
2396.0,P2,,T  10 11
2396.0,P3,,T  10 11
2396.0,P4,,T  10 11
1266.0,L1,1220.0,T Th  4  W  10
1663.0,L1,,
1267.0,L1,,
1268.0,L1,1219.0,M  10  T Th  3
2401.0,L1,1227.0,M W F  4
2401.0,T1,1205.0,Th  2
2401.0,T2,1204.0,Th  2
2401.0,T3,1232.0,Th  2
2401.0,T4,1220.0,Th  2
2401.0,T5,1219.0,Th  2
2403.0,L1,5106.0,M W  8
2403.0,T1,5106.0,F  8
2403.0,P1,,T  7 8
2403.0,P2,,T  7 8
2403.0,P3,,Th  7 8
2403.0,P4,,Th  7 8
2404.0,L1,1227.0,T Th  5
2404.0,T1,6104.0,T  2
2404.0,T2,6103.0,T  2
2404.0,T3,1205.0,T  2
2404.0,T4,1204.0,T  2
2405.0,L1,5106.0,W F  5
2405.0,T1,1202.0,T  9
2405.0,T2,1232.0,T  9
2405.0,T3,1226.0,T  9
2405.0,T4,1231.0,T  9
1680.0,L1,,
1748.0,L1,,
1697.0,L1,,
1764.0,L1,,
1275.0,L1,1203.0,M W F  3
2291.0,L1,1203.0,M W F  7
1277.0,L1,1226.0,M W F  7
1278.0,L1,1226.0,T Th  4  W  10
1281.0,L1,1223.0,M W F  7
1281.0,T1,1202.0,W  1
1284.0,L1N,,M  10  T Th  3
1868.0,L1,6101.0,M W F  11
1290.0,L1,,
741.0,L1N,,T Th  4  W  10
741.0,L2,,M W F  3
322.0,L1N,,M W F  5
322.0,L2,1205.0,T Th  4  W  10
262.0,L1,1232.0,T Th  5  F  10
2098.0,L1,1204.0,M W F  9
2079.0,L1N,,M W F  7
2086.0,L1N,,M W F  9
2087.0,L1,1204.0,M W F  2
740.0,L1,6156.0,M W F  8
742.0,L1N,,M  10  T Th  3
743.0,L1N,6159.0,M W F  3
743.0,P1N,,T  10 11
743.0,P2N,,T  10 11
2063.0,L1,6101.0,M W Th  8
2063.0,P1,,F  8 9
500.0,L1,6164.0,T Th  5  F  10
2064.0,L1,6152.0,M  10  T Th  3
932.0,L1,6107.0,M W F  4
606.0,L1,6101.0,M W F  2
744.0,L1N,,T Th  4  W  10
1107.0,L1,1223.0,T Th  4  W  10
1107.0,T1,5106.0,F  1
1107.0,T2,1203.0,F  1
1107.0,T3,1201.0,F  1
1107.0,T4,1223.0,F  1
1107.0,T5,1232.0,F  1
2395.0,L1,5106.0,M W F  9
2395.0,T1,5106.0,M  1
2395.0,T2,1226.0,M  1
2395.0,T3,1201.0,M  1
2395.0,T4,1223.0,M  1
2395.0,T5,1219.0,M  1
2395.0,P1,,Th  7 8
2395.0,P2,,Th  7 8
2395.0,P3,,Th  7 8
2395.0,P4,,Th  7 8
2410.0,P1,,M W  2 3
2411.0,L1,6155.0,M  10  T Th  3
2411.0,P1,,F  2 3
2411.0,P2,,F  2 3
2411.0,P3,,F  2 3
2411.0,P4,,F  2 3
1664.0,L1,,
2431.0,L1,1227.0,M W F  4
2431.0,T1,1205.0,Th  2
2431.0,T2,1204.0,Th  2
2431.0,T3,1232.0,Th  2
2431.0,T4,1220.0,Th  2
2431.0,T5,1219.0,Th  2
2415.0,L1,1203.0,M W F  8
2415.0,T1,1202.0,T  2
2415.0,P1,,T  10 11
2415.0,P2,,T  10 11
2416.0,L1,1203.0,M W F  5
2416.0,P1,,T  7 8
2416.0,P2,,T  7 8
1681.0,L1,,
1749.0,L1,,
1698.0,L1,,
1765.0,L1,,
1418.0,L1,1201.0,M W F  3
1884.0,L1,1201.0,M W F  2
1422.0,L1,,
2453.0,L1,6105.0,T Th  4  W  10
2454.0,L1,6105.0,T Th  5  F  10
2455.0,L1,6105.0,M W F  3
2456.0,L1,6105.0,M W F  5
2457.0,L1,6105.0,M W  2
2457.0,P1,,T  8 9
2457.0,P2,,Th  8 9
2458.0,L1,6105.0,M W  4
2458.0,P1,,T  8 9
2458.0,P2,,Th  8 9
2459.0,L1,6105.0,F  4
2459.0,P1,,T Th  2 3
2459.0,P2,,M W  8 9
649.0,L1,6155.0,M W F  5
1932.0,L1,6107.0,M W F  3
667.0,L1,,M W F  11
673.0,L1,,T Th S  11
1086.0,L1,6159.0,T Th  4
1086.0,T1,6159.0,W  10
1086.0,P1,,T  7 8
1086.0,P2,,T  7 8
1292.0,L1,6159.0,M W  9
1292.0,T1,6159.0,F  9
1292.0,P1,,T  10 11
1292.0,P2,,T  10 11
1665.0,L1,,
1295.0,L1,1232.0,M W  4
1295.0,T1,1232.0,F  4
1295.0,P1,,Th  7 8
1295.0,P2,,Th  7 8
1297.0,L1,1231.0,M W  5
1297.0,T1,1231.0,F  5
1297.0,P1,,T  10 11
1297.0,P2,,T  10 11
1299.0,L1,6164.0,T Th  9
1299.0,T1,6153.0,F  9
1299.0,P1,,T  7 8
1300.0,L1,6103.0,M W  8
1300.0,T1,1232.0,F  8
1300.0,P1,,Th  1 2
1300.0,P2,,Th  1 2
1682.0,L1,,
1750.0,L1,,
1699.0,L1,,
1766.0,L1,,
1303.0,L1,6103.0,T Th  4  W  10
1305.0,L1,1231.0,M  10  T Th  3
1306.0,L1,2207.0,M W F  2
1724.0,L1,,
351.0,L1N,,M W F  5
351.0,P1N,,M  10 11
2381.0,L1,6153.0,M  10  T Th  3
2383.0,L1,,M W F  8
2383.0,P1,,T  7 8
2385.0,L1N,,M W F  3
2387.0,L1N,,T Th  5  F  10
2387.0,P1N,,Th  1 2
183.0,L1,6153.0,M W F  4
183.0,P1,,Th  7 8
653.0,L1N,,M W F  8
653.0,P1N,,T  7 8
55.0,L1N,,M W F  4
2125.0,L1N,,T Th  4  W  10
2125.0,P1N,,M  8 9
2293.0,L1,6153.0,T Th  4  W  10
2293.0,P1,6153.0,Th  9 10
2388.0,L1N,,M W F  7
2388.0,P1,,T  7 8
747.0,L1N,,M W F  7
747.0,P1N,,Th  3 4
955.0,L1,6102.0,M W F  2
955.0,P1,,Th  1 2
510.0,L1,6155.0,M W F  3
145.0,L1,6153.0,T Th  5  F  10
145.0,P1,,T  9 10
767.0,L1,6105.0,M W F  8
2105.0,L1N,,M W F  2
2105.0,P1N,,T  1 2
2389.0,L1,,T Th  4  W  10
2390.0,L1,6159.0,M W F  8
2391.0,L1,1202.0,T Th  5  F  10
2393.0,L1,,M  10  T Th  3
2069.0,L1,,
1014.0,P1B,,T  4 5
1014.0,P2N,,T  7 8
1014.0,P3N,,T  7 8
1014.0,P4N,,T  7 8
1014.0,P5N,,T  7 8
1014.0,P6N,,T  7 8
1014.0,P7N,,T  7 8
1014.0,P8N,,T  7 8
1014.0,P9N,,T  9 10
1014.0,P10N,,T  9 10
1014.0,P11N,,T  9 10
1014.0,P12N,,T  9 10
1014.0,P13N,,T  9 10
1014.0,P14N,,T  9 10
1014.0,P15N,,T  9 10
1014.0,P16N,,Th  9 10
1014.0,P17N,,Th  9 10
1014.0,P18N,,Th  9 10
1014.0,P19N,,Th  9 10
1014.0,P20N,,Th  9 10
1014.0,P21N,,Th  9 10
1014.0,P22N,,Th  9 10
1014.0,P23N,,Th  9 10
1015.0,L1B,6102.0,M W F  11
1015.0,L2N,,M W F  2
1015.0,L3N,,M W F  9
1015.0,T1B,6159.0,T  9
1015.0,T2N,,F  4
1015.0,T3N,,F  4
1015.0,T4N,,F  4
1015.0,T5N,,M  4
1015.0,T6N,,M  4
1015.0,T7N,,M  4
1015.0,T8N,,Th  7
1015.0,T9N,,Th  7
1015.0,T10N,,Th  7
1015.0,T11N,,W  4
1015.0,T12N,,W  4
1015.0,T13N,,W  4
1859.0,L1N,,M W F  8
1859.0,T1N,,M  1
1126.0,L1,6156.0,M  10  T Th  3
1126.0,T1,6156.0,W  1
1127.0,L1,6156.0,T Th  4  W  10
1127.0,L2,6155.0,T Th  4  W  10
1127.0,T1,6156.0,F  1
1127.0,T2,1227.0,F  1
1128.0,L1,6156.0,M W F  9
1128.0,T1,6156.0,M  1
1129.0,P1,,T Th  7 8
1129.0,P2,,T Th  7 8
1666.0,L1,,
1486.0,L1,6156.0,T Th  5  F  10
1486.0,T1,6156.0,T  8
1487.0,L1,6156.0,M W F  4
1487.0,T1,6156.0,Th  2
1488.0,L1,6156.0,M W F  5
1488.0,T1,6156.0,Th  9
1494.0,L1,1227.0,M W F  7
1683.0,L1,,
1751.0,L1,,
1700.0,L1,,
1767.0,L1,,
2136.0,L1,1232.0,M W F  2
1496.0,L1,6103.0,M W F  3
1498.0,L1,6107.0,T Th  4  W  10
1500.0,L1,1205.0,M  10  T Th  3
1502.0,L1,6103.0,M W F  9
1725.0,L1,,
2297.0,L1N,,T Th  5  F  10
2298.0,L1N,,M  10  T Th  3
2299.0,L1N,,M W F  9
632.0,L1N,,T Th  4  W  10
2109.0,L1,6160.0,T  9  T Th  1
485.0,L1,1203.0,T Th  5  F  10
430.0,L1N,,M W F  4
